case_id,level1_category,level2_category,difficulty,gt_status,gt_error_type,gt_error_subtype,gt_label_source,gt_label_strength,baseline_status,baseline_error_type,baseline_error_subtype,baseline_error_type_raw,baseline_error_subtype_raw,baseline_error_position,baseline_label_source,sql_text,source_tier,source,source_ref,tags,notes,review_reason,review_priority
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table3 add constraint fk1 foreign key (c) references table1(a) disable novalidate,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_fk_tbl1.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table2 add constraint fk1 foreign key (b) references table3(a) disable novalidate,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_fk_tbl2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table2 add constraint fk1 foreign key (a) references table1(b) disable novalidate,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_ref.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE authorization_part_fail SET TBLPROPERTIES (""PARTITION_LEVEL_PRIVILEGE""=""TRUE"")",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/authorization_fail_6.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table alter_partition_partial_spec_dyndisabled0 partition (p1, p2) change c1 c1 int",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_partition_partial_spec_dyndisabled.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE srcpart_archived ARCHIVE PARTITION (ds='2008-04-08', nonexistingpart='12')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_partspec1.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE part_whitelist_test PARTITION (ds='1') rename to partition (ds='1,2,3')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_partition_with_whitelist.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE srcpart ADD PARTITION (ds='2008-04-08', hr='14_INTERMEDIATE_ORIGINAL')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive5.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table alter_table_non_partitioned_cascade add columns (c3 string) cascade,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_non_partitioned_table_cascade.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table testwrongloc set location ""hdfs://localhost:12345/tmp/testwrongloc""",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_wrong_location.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table1 add constraint pk4 primary key (b) disable novalidate rely,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_duplicate_pk.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table3 add constraint pk3 primary key (a) disable novalidate rely,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_pk_tbl.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table bad_rename2.rename_not_exists rename to bad_db_notexists.rename1,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_wrong_table.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table alter_partition_change_col_nonexist change c3 c4 decimal(14,4)",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_partition_change_col_nonexist.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE srcpart_archived ARCHIVE PARTITION (ds='2008-04-08', min='00')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_partspec5.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table alter_partition_change_col_dup_col change c2 c1 decimal(14,4)",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_partition_change_col_dup_col.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE srcpart_archived ARCHIVE PARTITION (ds='2008-04-08', hr='12')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive1.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE srcpart_archived ARCHIVE PARTITION (hr='12', ds='2008-04-08')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_partspec4.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table1 add constraint pk1 primary key (c) disable novalidate,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_pk_col.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,ALTER VIEW xxx5 ADD PARTITION (value='val_86') LOCATION '/foo/bar/baz',real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_view_failure4.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table stat_test set TBLPROPERTIES('numFilesErasureCoded'='NaN'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_tableprops_non_numeric_10.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE tstsrcpart UNARCHIVE PARTITION (ds='2008-04-08', hr='12')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE tstsrcpart UNARCHIVE PARTITION (ds='2008-04-08', hr='12')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE tstsrcpart UNARCHIVE PARTITION (ds='2008-04-08', hr='12')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi6.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE tstsrcpart ARCHIVE PARTITION (ds='2008-04-08', hr='12')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi4.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table bad_rename1.rename1 rename to bad_db_notexists.rename1,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_wrong_db.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table stat_test set TBLPROPERTIES('numFilesErasureCoded'=''),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_tableprops_non_numeric_9.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table testwrongloc set location ""relative/testwrongloc""",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_wrong_location2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE part_whitelist_test ADD PARTITION (ds='1,2,3,4')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/add_partition_with_whitelist.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table stat_test set TBLPROPERTIES('rawDataSize'='NaN'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_tableprops_non_numeric_4.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table altern1 replace columns(a int, b int, ds string)",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/altern1.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,ALTER TABLE tstsrcpart UNARCHIVE PARTITION (ds='2008-04-08'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi5.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,fail,parse_error,invalid_partition_column_syntax,mismatched_input,invalid_partition_column_syntax,1:50,local_hive_parse_sdk,"alter table alter_coltype partition column (dt int, ts int)",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_partition_coltype_2columns.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER VIEW srcpart ADD PARTITION (ds='2012-12-31', hr='23')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_view_failure3.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,Alter table table1 change b b STRING DEFAULT 'hive' enable,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_external_with_default_constraint.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table stat_test set TBLPROPERTIES('totalSize'='NaN'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_tableprops_non_numeric_6.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,ALTER TABLE tstsrcpart ARCHIVE PARTITION (ds='2008-04-08'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi1.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,ALTER TABLE tstsrcpart ARCHIVE PARTITION (ds='2008-04-08'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi3.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,ALTER TABLE tstsrcpart ARCHIVE PARTITION (ds='2008-04-08'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive_multi7.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table authorization_fail_2 add partition (ds='2010'),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/authorization_fail_2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table stat_test set TBLPROPERTIES('rawDataSize'=''),real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_tableprops_non_numeric_3.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
