case_id,level1_category,level2_category,difficulty,gt_status,gt_error_type,gt_error_subtype,gt_label_source,gt_label_strength,baseline_status,baseline_error_type,baseline_error_subtype,baseline_error_type_raw,baseline_error_subtype_raw,baseline_error_position,baseline_label_source,sql_text,source_tier,source,source_ref,tags,notes
HIVE_REAL_011,QUERY,UNION,hard,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:67,local_hive_parse_sdk,"select r2.key from (select key, c_int from (select key, c_int from ""c/b/o_t1"" union all select key, c_int from ""cbo_/t3////"" )r1 union all select key, c_int from ""cbo_/t3////"")r2 join (select key, c_int from (select * from ""c/b/o_t1"" union all select * from ""//cbo_t2"" where ""//cbo_t2"".key >=0)r1 union all select key, c_int from ""cbo_/t3////"")r3 on r2.key=r3.key where r3.key >=0 order by r2.key",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:join;feature:order_sort;feature:query;feature:status_fail;feature:subquery;feature:union;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:union;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_012,QUERY,LIMIT,easy,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,select explode(*) as x from allcolref limit 10,real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/allcolref_in_udf.q,baseline_status:pass;feature:limit;feature:query;feature:status_pass;gt_status:pass;gt_strength:strong;level1:query;level2:limit;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_013,QUERY,CTE,hard,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:56,local_hive_parse_sdk,"with q1 as ( select ""c/b/o_t1"".c_int c_int from q2 join ""c/b/o_t1"" where q2.c_int = ""c/b/o_t1"".c_int and ""c/b/o_t1"".dt='2014'), q2 as ( select c_int,c_boolean from v1_n7 where value = '1' or dt = '14') select count(*) from q1 join q2 join v4_n0 on q1.c_int = q2.c_int and v4_n0.c_int = q2.c_int",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:cte;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:join;feature:query;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:cte;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_014,QUERY,GROUP_BY,medium,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"select ROW__ID, count(*) from over10k_orc_bucketed_n0 group by ROW__ID having count(*) > 1",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/acid_vectorization_original_tez.q,baseline_status:pass;feature:group_by;feature:having;feature:query;feature:status_pass;gt_status:pass;gt_strength:strong;level1:query;level2:group_by;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_015,QUERY,WINDOW,hard,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:909,local_hive_parse_sdk,"select i, a, h, b, c, d, e, f, g, a as x, a +1 as y from (select max(c_int) over (partition by key order by value range UNBOUNDED PRECEDING) a, min(c_int) over (partition by key order by value range current row) b, count(c_int) over(partition by key order by value range 1 PRECEDING) c, avg(value) over (partition by key order by value range between unbounded preceding and unbounded following) d, sum(value) over (partition by key order by value range between unbounded preceding and current row) e, avg(c_float) over (partition by key order by value range between 1 preceding and unbounded following) f, sum(c_float) over (partition by key order by value range between 1 preceding and current row) g, max(c_float) over (partition by key order by value range between 1 preceding and unbounded following) h, min(c_float) over (partition by key order by value range between 1 preceding and 1 following) i from ""c/b/o_t1"") ""c/b/o_t1""",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:order_sort;feature:query;feature:status_fail;feature:subquery;feature:window;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:window;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_016,QUERY,WINDOW,hard,pass,,,official_doc_example,strong,fail,parse_error,window_clause_syntax,cannot_recognize_input,window_clause_syntax,1:105,local_hive_parse_sdk,"SELECT a, SUM(b) OVER (PARTITION BY c ORDER BY d ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM T;",real,hive_official_docs,https://hive.apache.org/docs/latest/language/languagemanual-windowingandanalytics/,baseline_error:parse_error;baseline_status:fail;feature:order_sort;feature:query;feature:status_pass;feature:window;gt_status:pass;gt_strength:strong;level1:query;level2:window;source:hive_official_docs;tier:real,Auto-extracted from Apache Hive official documentation code block | baseline=local_hive_parse_sdk
HIVE_REAL_017,QUERY,LIMIT,easy,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:49,local_hive_parse_sdk,"select key from(select key from (select key from ""c/b/o_t1"" limit 5)""//cbo_t2"" limit 5)""cbo_/t3////"" limit 5",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:limit;feature:query;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:limit;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_018,QUERY,LATERAL_VIEW,hard,pass,,,official_doc_example,strong,fail,parse_error,generic_parse_failure,cannot_recognize_input,generic_parse_failure,1:96,local_hive_parse_sdk,"SELECT adid, count(1) FROM pageAds LATERAL VIEW explode(adid_list) adTable AS adid GROUP BY adid;",real,hive_official_docs,https://hive.apache.org/docs/latest/language/languagemanual-lateralview/,baseline_error:parse_error;baseline_status:fail;feature:group_by;feature:lateral_view;feature:query;feature:status_pass;gt_status:pass;gt_strength:strong;level1:query;level2:lateral_view;source:hive_official_docs;tier:real,Auto-extracted from Apache Hive official documentation code block | baseline=local_hive_parse_sdk
HIVE_REAL_019,QUERY,JOIN,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:80,local_hive_parse_sdk,"select a, c, count(*) from (select key as a, c_int+1 as b, sum(c_int) as c from ""c/b/o_t1"" where (""c/b/o_t1"".c_int + 1 >= 0) and (""c/b/o_t1"".c_int > 0 or ""c/b/o_t1"".c_float >= 0) group by c_float, ""c/b/o_t1"".c_int, key having ""c/b/o_t1"".c_float > 0 and (c_int >=1 or c_float >= 1) and (c_int + c_float) >= 0 order by a+b desc, c asc limit 5) ""c/b/o_t1"" left semi join (select key as p, c_int+1 as q, sum(c_int) as r from ""//cbo_t2"" where (""//cbo_t2"".c_int + 1 >= 0) and (""//cbo_t2"".c_int > 0 or ""//cbo_t2"".c_float >= 0) group by c_float, ""//cbo_t2"".c_int, key having ""//cbo_t2"".c_float > 0 and (c_int >=1 or c_float >= 1) and (c_int + c_float) >= 0 order by q+r/10 desc, p limit 5) ""//cbo_t2"" on ""c/b/o_t1"".a=p left semi join ""cbo_/t3////"" on ""c/b/o_t1"".a=key where (b + 1 >= 0) and (b > 0 or a >= 0) group by a, c having a > 0 and (a >=1 or c >= 1) and (a + c) >= 0 order by c, a",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:group_by;feature:having;feature:join;feature:limit;feature:order_sort;feature:query;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:join;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_020,QUERY,TRANSFORM,hard,pass,,,open_benchmark_positive_directory,strong,pass,,,,,,local_hive_parse_sdk,"FROM ( FROM src_thrift SELECT TRANSFORM(src_thrift.lint, src_thrift.lintstring) USING '/bin/cat' AS (tkey, tvalue) CLUSTER BY tkey ) tmap INSERT OVERWRITE TABLE dest1 SELECT tmap.tkey, tmap.tvalue",real,apache_hive_positive,https://github.com/apache/hive/blob/master/ql/src/test/queries/positive/input5.q,baseline_status:pass;feature:insert_from;feature:insert_overwrite;feature:query;feature:status_pass;feature:subquery;feature:transform;gt_status:pass;gt_strength:strong;level1:query;level2:transform;source:apache_hive_positive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_021,QUERY,WHERE_FILTER,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:29,local_hive_parse_sdk,"select * from (select * from ""c/b/o_t1"" as ""c/b/o_t1"" where ""c/b/o_t1"".c_int >= 0 and c_float+c_int >= 0 or c_float <= 100) as ""c/b/o_t1"" where ""c/b/o_t1"".c_int >= 0 and c_float+c_int >= 0 or c_float <= 100",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:query;feature:status_fail;feature:subquery;feature:where_filter;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:where_filter;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_022,QUERY,UNION,hard,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,select key from (select value as key from v2_n7 union select value as key from v1_n13 union all select key from v_n9)subq limit 10,real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/authorization_view_1.q,baseline_status:pass;feature:limit;feature:query;feature:status_pass;feature:subquery;feature:union;gt_status:pass;gt_strength:strong;level1:query;level2:union;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_023,QUERY,GROUP_BY,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:41,local_hive_parse_sdk,"select b.p_mfgr, min(p_retailprice) from ""p/a/r/t"" b group by b.p_mfgr having b.p_mfgr not in (select p_mfgr from (select p_mfgr, min(p_retailprice) l, max(p_retailprice) r, avg(p_retailprice) a from ""p/a/r/t"" group by p_mfgr) a where min(p_retailprice) = l and r - l > 600 ) order by b.p_mfgr",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:group_by;feature:having;feature:order_sort;feature:query;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:group_by;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_024,QUERY,SELECT_BASIC,easy,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"select distinct IF(seq==0, 'LOOKS OKAY', 'BROKEN'), regexp_extract(INPUT__FILE__NAME, '.*/(.*)/[^/]*', 1) from sequential_update",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/acid_insert_overwrite_update.q,baseline_status:pass;feature:query;feature:select_basic;feature:status_pass;gt_status:pass;gt_strength:strong;level1:query;level2:select_basic;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_025,QUERY,SELECT_BASIC,easy,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:179,local_hive_parse_sdk,"select f,a,e,b from (select count(*) as a, count(distinct c_int) as b, sum(distinct c_int) as c, avg(distinct c_int) as d, max(distinct c_int) as e, min(distinct c_int) as f from ""c/b/o_t1"") ""c/b/o_t1""",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:query;feature:select_basic;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:select_basic;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_026,QUERY,WHERE_FILTER,medium,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"SELECT SUM(hash(col)) FROM (SELECT transform(*) using 'tr ""\t"" ""_""' AS col FROM (SELECT * FROM tstsrcpart_n2 WHERE ds='2008-04-08') subq1) subq2",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/archive_excludeHadoop20.q,baseline_status:pass;feature:query;feature:status_pass;feature:subquery;feature:transform;feature:where_filter;gt_status:pass;gt_strength:strong;level1:query;level2:where_filter;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_027,QUERY,ORDER_SORT,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:70,local_hive_parse_sdk,"select key, c_int from(select key, c_int from (select key, c_int from ""c/b/o_t1"" order by c_int limit 5)""c/b/o_t1"" order by c_int limit 5)""//cbo_t2"" order by c_int limit 5",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:limit;feature:order_sort;feature:query;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:order_sort;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_028,QUERY,ORDER_SORT,medium,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,select key from authorization_part_n0 where ds>='2010' order by key limit 20,real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/authorization_6.q,baseline_status:pass;feature:limit;feature:order_sort;feature:query;feature:status_pass;gt_status:pass;gt_strength:strong;level1:query;level2:order_sort;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
